date,heure,élu
2008-04-22,20:30,Philippe Gaillard
2008-04-22,20:30,Régine Cormier
2008-05-28,20:30,Alain Guilbaud
2008-05-28,20:30,Annie Bardoul
2008-05-28,20:30,Bernard Chazelas
2008-05-28,20:30,Eric Lombrey
2008-05-28,20:30,Georges Lecleve
2008-05-28,20:30,Jacques Chevalier
2008-05-28,20:30,Jean-Marie Gatard
2008-05-28,20:30,Jean-Paul Leray
2008-05-28,20:30,Jean-Pierre Grandjouan
2008-05-28,20:30,Lionel Lescurat
2008-05-28,20:30,Marie-Jo Batard
2008-05-28,20:30,Michèle Francheteau
2008-05-28,20:30,Michel Gravouil
2008-05-28,20:30,Paul Pipaud
2008-05-28,20:30,Philippe Briand
2008-05-28,20:30,Philippe Gaillard
2008-05-28,20:30,Régine Cormier
2008-06-24,20:30,Alain Guilbaud
2008-06-24,20:30,Alice Biczysko
2008-06-24,20:30,Annie Bardoul
2008-06-24,20:30,Bernard Chazelas
2008-06-24,20:30,Eric Lombrey
2008-06-24,20:30,Georges Lecleve
2008-06-24,20:30,Jacques Chevalier
2008-06-24,20:30,Jean-Marie Gatard
2008-06-24,20:30,Jean-Paul Leray
2008-06-24,20:30,Jean-Pierre Grandjouan
2008-06-24,20:30,Marie-Jo Batard
2008-06-24,20:30,Michèle Francheteau
2008-06-24,20:30,Michel Gravouil
2008-06-24,20:30,Nicolas Boucher
2008-06-24,20:30,Paul Pipaud
2008-06-24,20:30,Philippe Briand
2008-06-24,20:30,Philippe Gaillard
2008-07-16,20:30,Alice Biczysko
2008-07-16,20:30,Annie Bardoul
2008-07-16,20:30,Bernard Chazelas
2008-07-16,20:30,Eric Lombrey
2008-07-16,20:30,Georges Lecleve
2008-07-16,20:30,Jacques Chevalier
2008-07-16,20:30,Jean-Paul Leray
2008-07-16,20:30,Lionel Lescurat
2008-07-16,20:30,Marie-Jo Batard
2008-07-16,20:30,Michèle Francheteau
2008-07-16,20:30,Michel Gravouil
2008-07-16,20:30,Philippe Briand
2008-07-16,20:30,Philippe Gaillard
2008-07-16,20:30,Régine Cormier
2008-09-16,20:30,Alain Guilbaud
2008-09-16,20:30,Alice Biczysko
2008-09-16,20:30,Annie Bardoul
2008-09-16,20:30,Bernard Chazelas
2008-09-16,20:30,Georges Lecleve
2008-09-16,20:30,Jacques Chevalier
2008-09-16,20:30,Jean-Marie Gatard
2008-09-16,20:30,Jean-Paul Leray
2008-09-16,20:30,Jean-Pierre Grandjouan
2008-09-16,20:30,Michel Gravouil
2008-09-16,20:30,Nicolas Boucher
2008-09-16,20:30,Paul Pipaud
2008-09-16,20:30,Philippe Briand
2008-09-16,20:30,Philippe Gaillard
2008-09-16,20:30,Régine Cormier
2008-10-15,20:30,Alain Guilbaud
2008-10-15,20:30,Alice Biczysko
2008-10-15,20:30,Annie Bardoul
2008-10-15,20:30,Bernard Chazelas
2008-10-15,20:30,Eric Lombrey
2008-10-15,20:30,Jacques Chevalier
2008-10-15,20:30,Jean-Marie Gatard
2008-10-15,20:30,Jean-Paul Leray
2008-10-15,20:30,Jean-Pierre Grandjouan
2008-10-15,20:30,Lionel Lescurat
2008-10-15,20:30,Marie-Jo Batard
2008-10-15,20:30,Michèle Francheteau
2008-10-15,20:30,Michel Gravouil
2008-10-15,20:30,Nicolas Boucher
2008-10-15,20:30,Paul Pipaud
2008-10-15,20:30,Philippe Briand
2008-10-15,20:30,Philippe Gaillard
2008-11-18,20:00,Alain Guilbaud
2008-11-18,20:00,Alice Biczysko
2008-11-18,20:00,Annie Bardoul
2008-11-18,20:00,Bernard Chazelas
2008-11-18,20:00,Eric Lombrey
2008-11-18,20:00,Georges Lecleve
2008-11-18,20:00,Jacques Chevalier
2008-11-18,20:00,Jean-Marie Gatard
2008-11-18,20:00,Jean-Paul Leray
2008-11-18,20:00,Jean-Pierre Grandjouan
2008-11-18,20:00,Lionel Lescurat
2008-11-18,20:00,Marie-Jo Batard
2008-11-18,20:00,Michel Gravouil
2008-11-18,20:00,Nicolas Boucher
2008-11-18,20:00,Paul Pipaud
2008-11-18,20:00,Philippe Briand
2008-11-18,20:00,Philippe Gaillard
2008-11-18,20:00,Régine Cormier
2008-12-17,20:00,Alain Guilbaud
2008-12-17,20:00,Alice Biczysko
2008-12-17,20:00,Annie Bardoul
2008-12-17,20:00,Bernard Chazelas
2008-12-17,20:00,Eric Lombrey
2008-12-17,20:00,Georges Lecleve
2008-12-17,20:00,Jacques Chevalier
2008-12-17,20:00,Jean-Marie Gatard
2008-12-17,20:00,Jean-Paul Leray
2008-12-17,20:00,Jean-Pierre Grandjouan
2008-12-17,20:00,Lionel Lescurat
2008-12-17,20:00,Marie-Jo Batard
2008-12-17,20:00,Michèle Francheteau
2008-12-17,20:00,Michel Gravouil
2008-12-17,20:00,Nicolas Boucher
2008-12-17,20:00,Paul Pipaud
2008-12-17,20:00,Philippe Briand
2008-12-17,20:00,Philippe Gaillard
2008-12-17,20:00,Régine Cormier
2009-01-20,20:00,Alain Guilbaud
2009-01-20,20:00,Annie Bardoul
2009-01-20,20:00,Bernard Chazelas
2009-01-20,20:00,Eric Lombrey
2009-01-20,20:00,Georges Lecleve
2009-01-20,20:00,Jacques Chevalier
2009-01-20,20:00,Jean-Marie Gatard
2009-01-20,20:00,Jean-Paul Leray
2009-01-20,20:00,Jean-Pierre Grandjouan
2009-01-20,20:00,Lionel Lescurat
2009-01-20,20:00,Michèle Francheteau
2009-01-20,20:00,Michel Gravouil
2009-01-20,20:00,Nicolas Boucher
2009-01-20,20:00,Paul Pipaud
2009-01-20,20:00,Philippe Briand
2009-01-20,20:00,Philippe Gaillard
2009-01-20,20:00,Régine Cormier
2009-02-18,20:00,Alain Guilbaud
2009-02-18,20:00,Alice Biczysko
2009-02-18,20:00,Annie Bardoul
2009-02-18,20:00,Georges Lecleve
2009-02-18,20:00,Jacques Chevalier
2009-02-18,20:00,Jean-Marie Gatard
2009-02-18,20:00,Jean-Paul Leray
2009-02-18,20:00,Jean-Pierre Grandjouan
2009-02-18,20:00,Lionel Lescurat
2009-02-18,20:00,Marie-Jo Batard
2009-02-18,20:00,Michèle Francheteau
2009-02-18,20:00,Michel Gravouil
2009-02-18,20:00,Nicolas Boucher
2009-02-18,20:00,Paul Pipaud
2009-02-18,20:00,Philippe Briand
2009-03-24,20:00,Alain Guilbaud
2009-03-24,20:00,Annie Bardoul
2009-03-24,20:00,Bernard Chazelas
2009-03-24,20:00,Eric Lombrey
2009-03-24,20:00,Georges Lecleve
2009-03-24,20:00,Jean-Marie Gatard
2009-03-24,20:00,Jean-Paul Leray
2009-03-24,20:00,Jean-Pierre Grandjouan
2009-03-24,20:00,Lionel Lescurat
2009-03-24,20:00,Marie-Jo Batard
2009-03-24,20:00,Michèle Francheteau
2009-03-24,20:00,Michel Gravouil
2009-03-24,20:00,Nicolas Boucher
2009-03-24,20:00,Paul Pipaud
2009-03-24,20:00,Philippe Briand
2009-03-24,20:00,Régine Cormier
2009-04-21,20:30,Alain Guilbaud
2009-04-21,20:30,Alice Biczysko
2009-04-21,20:30,Annie Bardoul
2009-04-21,20:30,Bernard Chazelas
2009-04-21,20:30,Eric Lombrey
2009-04-21,20:30,Georges Lecleve
2009-04-21,20:30,Jacques Chevalier
2009-04-21,20:30,Jean-Marie Gatard
2009-04-21,20:30,Jean-Paul Leray
2009-04-21,20:30,Jean-Pierre Grandjouan
2009-04-21,20:30,Lionel Lescurat
2009-04-21,20:30,Michèle Francheteau
2009-04-21,20:30,Michel Gravouil
2009-04-21,20:30,Nicolas Boucher
2009-04-21,20:30,Paul Pipaud
2009-04-21,20:30,Régine Cormier
2009-05-26,20:30,Alain Guilbaud
2009-05-26,20:30,Annie Bardoul
2009-05-26,20:30,Bernard Chazelas
2009-05-26,20:30,Georges Lecleve
2009-05-26,20:30,Jacques Chevalier
2009-05-26,20:30,Jean-Marie Gatard
2009-05-26,20:30,Jean-Paul Leray
2009-05-26,20:30,Jean-Pierre Grandjouan
2009-05-26,20:30,Lionel Lescurat
2009-05-26,20:30,Marie-Jo Batard
2009-05-26,20:30,Michel Gravouil
2009-05-26,20:30,Nicolas Boucher
2009-05-26,20:30,Paul Pipaud
2009-05-26,20:30,Philippe Briand
2009-05-26,20:30,Régine Cormier
2009-06-24,20:30,Alain Guilbaud
2009-06-24,20:30,Alice Biczysko
2009-06-24,20:30,Annie Bardoul
2009-06-24,20:30,Bernard Chazelas
2009-06-24,20:30,Eric Lombrey
2009-06-24,20:30,Georges Lecleve
2009-06-24,20:30,Jacques Chevalier
2009-06-24,20:30,Jean-Marie Gatard
2009-06-24,20:30,Jean-Paul Leray
2009-06-24,20:30,Jean-Pierre Grandjouan
2009-06-24,20:30,Marie-Jo Batard
2009-06-24,20:30,Michèle Francheteau
2009-06-24,20:30,Michel Gravouil
2009-06-24,20:30,Nicolas Boucher
2009-06-24,20:30,Paul Pipaud
2009-06-24,20:30,Philippe Briand
2009-06-24,20:30,Régine Cormier
2009-07-21,20:30,Alain Guilbaud
2009-07-21,20:30,Alice Biczysko
2009-07-21,20:30,Bernard Chazelas
2009-07-21,20:30,Georges Lecleve
2009-07-21,20:30,Jean-Paul Leray
2009-07-21,20:30,Lionel Lescurat
2009-07-21,20:30,Marie-Jo Batard
2009-07-21,20:30,Michèle Francheteau
2009-07-21,20:30,Michel Gravouil
2009-07-21,20:30,Nicolas Boucher
2009-07-21,20:30,Philippe Briand
2009-09-09,20:30,Alain Guilbaud
2009-09-09,20:30,Alice Biczysko
2009-09-09,20:30,Annie Bardoul
2009-09-09,20:30,Bernard Chazelas
2009-09-09,20:30,Georges Lecleve
2009-09-09,20:30,Jacques Chevalier
2009-09-09,20:30,Jean-Marie Gatard
2009-09-09,20:30,Jean-Paul Leray
2009-09-09,20:30,Jean-Pierre Grandjouan
2009-09-09,20:30,Lionel Lescurat
2009-09-09,20:30,Marie-Jo Batard
2009-09-09,20:30,Michèle Francheteau
2009-09-09,20:30,Michel Gravouil
2009-09-09,20:30,Nicolas Boucher
2009-09-09,20:30,Paul Pipaud
2009-09-09,20:30,Philippe Briand
2009-09-09,20:30,Régine Cormier
2009-10-13,20:30,Alice Biczysko
2009-10-13,20:30,Annie Bardoul
2009-10-13,20:30,Bernard Chazelas
2009-10-13,20:30,Eric Lombrey
2009-10-13,20:30,Georges Lecleve
2009-10-13,20:30,Jacques Chevalier
2009-10-13,20:30,Jean-Marie Gatard
2009-10-13,20:30,Jean-Paul Leray
2009-10-13,20:30,Jean-Pierre Grandjouan
2009-10-13,20:30,Marie-Jo Batard
2009-10-13,20:30,Michèle Francheteau
2009-10-13,20:30,Michel Gravouil
2009-10-13,20:30,Paul Pipaud
2009-10-13,20:30,Philippe Briand
2009-10-13,20:30,Régine Cormier
2009-11-24,20:00,Alice Biczysko
2009-11-24,20:00,Annie Bardoul
2009-11-24,20:00,Bernard Chazelas
2009-11-24,20:00,Georges Lecleve
2009-11-24,20:00,Jacques Chevalier
2009-11-24,20:00,Jean-Marie Gatard
2009-11-24,20:00,Jean-Paul Leray
2009-11-24,20:00,Jean-Pierre Grandjouan
2009-11-24,20:00,Lionel Lescurat
2009-11-24,20:00,Marie-Jo Batard
2009-11-24,20:00,Michèle Francheteau
2009-11-24,20:00,Michel Gravouil
2009-11-24,20:00,Nicolas Boucher
2009-11-24,20:00,Paul Pipaud
2009-11-24,20:00,Philippe Briand
2009-11-24,20:00,Régine Cormier
2009-12-15,20:00,Alice Biczysko
2009-12-15,20:00,Annie Bardoul
2009-12-15,20:00,Bernard Chazelas
2009-12-15,20:00,Eric Lombrey
2009-12-15,20:00,Georges Lecleve
2009-12-15,20:00,Jacques Chevalier
2009-12-15,20:00,Jean-Marie Gatard
2009-12-15,20:00,Jean-Paul Leray
2009-12-15,20:00,Jean-Pierre Grandjouan
2009-12-15,20:00,Michèle Francheteau
2009-12-15,20:00,Michel Gravouil
2009-12-15,20:00,Nicolas Boucher
2009-12-15,20:00,Paul Pipaud
2009-12-15,20:00,Philippe Briand
2009-12-15,20:00,Régine Cormier
2010-01-19,20:00,Alice Biczysko
2010-01-19,20:00,Annie Bardoul
2010-01-19,20:00,Bernard Chazelas
2010-01-19,20:00,Eric Lombrey
