2013-11-19,20:00,Bernard Chazelas
2013-11-19,20:00,Georges Lecleve
2013-11-19,20:00,Jacques Chevalier
2013-11-19,20:00,Jean-Marie Gatard
2013-11-19,20:00,Jean-Paul Leray
2013-11-19,20:00,Jean-Pierre Grandjouan
2013-11-19,20:00,Michèle Francheteau
2013-11-19,20:00,Michel Gravouil
2013-11-19,20:00,Paul Pipaud
2013-11-19,20:00,Régine Cormier
2013-12-17,20:00,Alice Biczysko
2013-12-17,20:00,Annie Bardoul
2013-12-17,20:00,Bernard Chazelas
2013-12-17,20:00,Georges Lecleve
2013-12-17,20:00,Jacques Chevalier
2013-12-17,20:00,Jean-Marie Gatard
2013-12-17,20:00,Jean-Paul Leray
2013-12-17,20:00,Jean-Pierre Grandjouan
2013-12-17,20:00,Michèle Francheteau
2013-12-17,20:00,Paul Pipaud
2013-12-17,20:00,Philippe Briand
2013-12-17,20:00,Régine Cormier
2014-01-14,20:00,Alice Biczysko
2014-01-14,20:00,Annie Bardoul
2014-01-14,20:00,Bernard Chazelas
2014-01-14,20:00,Eric Lombrey
2014-01-14,20:00,Georges Lecleve
2014-01-14,20:00,Jacques Chevalier
2014-01-14,20:00,Jean-Marie Gatard
2014-01-14,20:00,Jean-Paul Leray
2014-01-14,20:00,Jean-Pierre Grandjouan
2014-01-14,20:00,Michèle Francheteau
2014-01-14,20:00,Michel Gravouil
2014-01-14,20:00,Nicolas Boucher
2014-01-14,20:00,Paul Pipaud
2014-01-14,20:00,Philippe Briand
2014-02-26,18:30,Alice Biczysko
2014-02-26,18:30,Annie Bardoul
2014-02-26,18:30,Bernard Chazelas
2014-02-26,18:30,Eric Lombrey
2014-02-26,18:30,Georges Lecleve
2014-02-26,18:30,Jacques Chevalier
2014-02-26,18:30,Jean-Marie Gatard
2014-02-26,18:30,Jean-Paul Leray
2014-02-26,18:30,Jean-Pierre Grandjouan
2014-02-26,18:30,Michèle Francheteau
2014-02-26,18:30,Michel Gravouil
2014-02-26,18:30,Nicolas Boucher
2014-02-26,18:30,Paul Pipaud
2014-02-26,18:30,Philippe Briand
2014-02-26,18:30,Régine Cormier
